                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                 1.7322,                 1.4309,                0.92467,                0.74612,                0.68754,                0.76485,                0.31169,                 2.1962,                 1.3413,                0.88955,              0.0003268,              0.0003268,              0.0003268
                     70,                 1.7506,                 1.4375,                0.92692,                0.75465,                0.68552,                0.76579,                0.29961,                 2.2204,                 1.3776,                0.89045,              0.0003169,              0.0003169,              0.0003169
                     71,                  1.742,                 1.4333,                0.92554,                0.77519,                0.69375,                0.78105,                 0.3201,                 2.1641,                 1.3165,                0.88752,               0.000307,               0.000307,               0.000307
                     72,                 1.7334,                 1.4269,                0.92352,                0.77084,                 0.6768,                0.76815,                0.31142,                  2.183,                 1.3736,                 0.8891,              0.0002971,              0.0002971,              0.0002971
                     73,                 1.7201,                 1.4149,                0.92571,                0.77932,                 0.6959,                0.79155,                0.34638,                  2.024,                 1.3088,                0.87086,              0.0002872,              0.0002872,              0.0002872
                     74,                 1.7121,                  1.397,                0.92375,                0.78034,                0.70347,                0.79008,                0.33779,                 2.0566,                 1.2987,                0.87308,              0.0002773,              0.0002773,              0.0002773
                     75,                 1.7257,                  1.413,                0.92662,                0.77203,                0.70405,                0.78975,                0.34302,                 2.0376,                  1.331,                0.87141,              0.0002674,              0.0002674,              0.0002674
                     76,                 1.7226,                 1.4129,                0.92504,                 0.7488,                0.69488,                0.77426,                0.31944,                 2.1248,                 1.3803,                0.88731,              0.0002575,              0.0002575,              0.0002575
                     77,                 1.7244,                 1.4147,                0.92295,                0.77106,                0.68559,                0.78292,                0.32308,                 2.1113,                 1.3573,                0.88403,              0.0002476,              0.0002476,              0.0002476
                     78,                 1.7345,                 1.4108,                0.92716,                0.76689,                0.70835,                0.78683,                0.32997,                 2.0835,                 1.3309,                0.87784,              0.0002377,              0.0002377,              0.0002377
                     79,                 1.7219,                  1.397,                0.92435,                0.74863,                0.71555,                0.78326,                0.32884,                 2.0701,                 1.3345,                0.87867,              0.0002278,              0.0002278,              0.0002278
                     80,                   1.72,                 1.4016,                0.92425,                0.75777,                0.71949,                0.79049,                0.33696,                 2.0335,                  1.287,                0.87277,              0.0002179,              0.0002179,              0.0002179
                     81,                  1.713,                 1.3855,                0.92353,                0.76039,                  0.729,                0.78705,                0.33774,                  2.032,                 1.2786,                0.87178,               0.000208,               0.000208,               0.000208
                     82,                 1.7264,                 1.4054,                0.92406,                0.76618,                0.72647,                0.79525,                0.34212,                 2.0293,                 1.2754,                 0.8698,              0.0001981,              0.0001981,              0.0001981
                     83,                 1.7106,                 1.4012,                0.92252,                0.75141,                0.72653,                0.78749,                0.33379,                 2.0511,                 1.2789,                0.87226,              0.0001882,              0.0001882,              0.0001882
                     84,                 1.7086,                 1.3923,                0.92239,                0.74336,                0.72259,                0.78015,                0.32316,                 2.0958,                  1.298,                0.87648,              0.0001783,              0.0001783,              0.0001783
                     85,                 1.7189,                 1.3998,                0.92362,                 0.7474,                0.72732,                0.78297,                0.33502,                 2.0532,                 1.2703,                0.87112,              0.0001684,              0.0001684,              0.0001684
                     86,                 1.7083,                 1.3867,                0.92263,                0.74615,                0.72883,                0.78062,                0.33348,                 2.0592,                 1.3007,                0.87203,              0.0001585,              0.0001585,              0.0001585
                     87,                 1.6944,                  1.393,                0.92267,                0.76398,                0.72259,                0.79175,                 0.3391,                 2.0454,                  1.294,                0.87086,              0.0001486,              0.0001486,              0.0001486
                     88,                 1.6984,                 1.3764,                0.92179,                 0.7413,                0.72497,                0.79082,                0.34007,                 2.0522,                 1.2781,                 0.8709,              0.0001387,              0.0001387,              0.0001387
                     89,                 1.6919,                 1.3812,                0.92355,                0.74799,                0.70525,                0.78405,                0.33105,                 2.0741,                 1.3053,                0.87373,              0.0001288,              0.0001288,              0.0001288
                     90,                 1.6894,                 1.3721,                 0.9205,                0.75371,                 0.7194,                0.78723,                0.32967,                 2.0765,                 1.2997,                0.87331,              0.0001189,              0.0001189,              0.0001189
                     91,                 1.6875,                 1.3784,                 0.9229,                0.75142,                0.71961,                0.78537,                0.32382,                 2.1039,                 1.2995,                 0.8754,               0.000109,               0.000109,               0.000109
                     92,                 1.7031,                 1.3785,                0.92469,                0.74568,                0.72569,                0.78773,                0.32028,                 2.1251,                 1.2946,                0.87743,               9.91e-05,               9.91e-05,               9.91e-05
                     93,                 1.6815,                 1.3669,                0.92098,                 0.7468,                0.71969,                0.78807,                0.31933,                 2.1374,                 1.3014,                0.87947,               8.92e-05,               8.92e-05,               8.92e-05
                     94,                 1.6842,                 1.3705,                0.92118,                0.75479,                0.71305,                0.78483,                0.31978,                 2.1315,                 1.2959,                0.87922,               7.93e-05,               7.93e-05,               7.93e-05
                     95,                 1.6993,                 1.3734,                0.92277,                0.75809,                0.70767,                0.78462,                 0.3169,                 2.1419,                 1.2985,                0.88051,               6.94e-05,               6.94e-05,               6.94e-05
                     96,                 1.6802,                 1.3587,                0.92069,                0.75859,                0.70152,                0.78357,                0.31592,                 2.1389,                  1.299,                0.88057,               5.95e-05,               5.95e-05,               5.95e-05
                     97,                 1.6906,                 1.3702,                0.92175,                0.74353,                0.72016,                0.78381,                0.31751,                 2.1293,                 1.2968,                0.87975,               4.96e-05,               4.96e-05,               4.96e-05
                     98,                 1.6874,                 1.3661,                0.92023,                0.74406,                 0.7211,                 0.7838,                0.31943,                 2.1256,                 1.2934,                0.87929,               3.97e-05,               3.97e-05,               3.97e-05
                     99,                 1.6743,                 1.3679,                 0.9202,                 0.7411,                0.72493,                0.78455,                0.31947,                  2.123,                 1.2956,                0.87878,               2.98e-05,               2.98e-05,               2.98e-05
