                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                0.10764,                0.19905,                0.78539,                0.99788,                0.99619,                0.99497,                 0.9947,                0.15053,                0.11258,                0.67068,              0.0005149,              0.0005149,              0.0005149
                     51,                 0.1099,                0.19608,                0.78564,                0.99861,                0.99756,                  0.995,                0.99474,                0.15379,                0.10758,                0.67104,               0.000505,               0.000505,               0.000505
                     52,                0.10858,                0.19904,                  0.785,                0.99852,                0.99883,                0.99499,                0.99472,                0.16065,                0.10271,                0.67179,              0.0004951,              0.0004951,              0.0004951
                     53,                0.10644,                0.19618,                0.78416,                 0.9987,                0.99733,                  0.995,                0.99489,                0.15272,                0.10439,                0.67217,              0.0004852,              0.0004852,              0.0004852
                     54,                0.10988,                0.19442,                0.78552,                0.99906,                0.99835,                  0.995,                0.99491,                0.15158,                0.10359,                0.67158,              0.0004753,              0.0004753,              0.0004753
                     55,                 0.1053,                0.19389,                0.78535,                 0.9988,                0.99867,                  0.995,                0.99486,                0.15439,                0.10238,                0.67186,              0.0004654,              0.0004654,              0.0004654
                     56,                  0.104,                 0.1971,                0.78524,                0.99883,                0.99893,                  0.995,                0.99459,                0.15458,                0.10761,                0.67143,              0.0004555,              0.0004555,              0.0004555
                     57,                0.10079,                0.19021,                0.78491,                0.99851,                0.99851,                  0.995,                 0.9949,                0.15248,                0.10982,                0.67084,              0.0004456,              0.0004456,              0.0004456
                     58,                0.10494,                0.18961,                0.78527,                 0.9986,                0.99869,                  0.995,                0.99498,                0.14935,                0.11814,                0.67106,              0.0004357,              0.0004357,              0.0004357
                     59,                0.10377,                0.19166,                0.78558,                0.99897,                0.99848,                  0.995,                0.99491,                0.14848,                0.11624,                0.67057,              0.0004258,              0.0004258,              0.0004258
                     60,                0.10002,                0.18927,                0.78595,                0.99879,                0.99852,                  0.995,                0.99496,                0.14436,                0.10367,                0.67087,              0.0004159,              0.0004159,              0.0004159
                     61,                0.09893,                0.18721,                0.78416,                0.99859,                0.99896,                0.99499,                 0.9948,                 0.1521,                0.10955,                0.67011,               0.000406,               0.000406,               0.000406
                     62,                0.09984,                0.18581,                0.78507,                 0.9984,                0.99842,                0.99499,                0.99482,                0.14983,                0.11118,                 0.6704,              0.0003961,              0.0003961,              0.0003961
                     63,                0.10227,                0.18737,                0.78465,                0.99881,                0.99828,                0.99497,                0.99478,                0.15662,                0.10914,                0.67102,              0.0003862,              0.0003862,              0.0003862
                     64,                0.09899,                0.18385,                0.78454,                0.99872,                0.99852,                0.99498,                0.99492,                 0.1485,                0.10519,                 0.6707,              0.0003763,              0.0003763,              0.0003763
                     65,                0.09871,                0.18327,                0.78545,                0.99871,                0.99847,                0.99493,                0.99486,                0.14931,                0.10853,                 0.6704,              0.0003664,              0.0003664,              0.0003664
                     66,                0.09808,                0.18278,                0.78483,                0.99842,                0.99845,                0.99499,                0.99488,                0.15425,                0.10509,                0.67086,              0.0003565,              0.0003565,              0.0003565
                     67,                0.09826,                 0.1849,                0.78379,                0.99863,                0.99867,                  0.995,                0.99489,                0.15278,                0.10342,                0.67062,              0.0003466,              0.0003466,              0.0003466
                     68,                0.09561,                0.18189,                0.78533,                0.99883,                0.99837,                  0.995,                 0.9948,                0.15578,                0.10642,                0.67066,              0.0003367,              0.0003367,              0.0003367
                     69,                 0.0956,                0.18051,                0.78489,                0.99836,                0.99846,                  0.995,                0.99487,                0.15639,                0.10236,                0.67101,              0.0003268,              0.0003268,              0.0003268
                     70,                0.09544,                0.18145,                0.78524,                0.99864,                0.99839,                0.99497,                0.99485,                0.15815,                0.10058,                0.67104,              0.0003169,              0.0003169,              0.0003169
                     71,                0.09617,                0.18104,                0.78543,                0.99878,                0.99868,                0.99498,                0.99486,                0.15801,                0.10201,                0.67092,               0.000307,               0.000307,               0.000307
                     72,                0.09177,                0.17972,                0.78528,                0.99889,                0.99875,                  0.995,                0.99487,                0.15919,                 0.1047,                0.67125,              0.0002971,              0.0002971,              0.0002971
                     73,                0.09476,                0.18128,                0.78598,                0.99863,                 0.9986,                0.99497,                0.99488,                0.15828,                0.10832,                0.67129,              0.0002872,              0.0002872,              0.0002872
                     74,                0.09307,                0.17953,                0.78386,                0.99848,                0.99852,                0.99498,                0.99494,                0.15519,                0.10864,                0.67075,              0.0002773,              0.0002773,              0.0002773
                     75,                0.09264,                0.17608,                0.78522,                0.99855,                0.99856,                  0.995,                0.99489,                0.15612,                0.10457,                 0.6709,              0.0002674,              0.0002674,              0.0002674
                     76,                0.09325,                 0.1761,                0.78566,                0.99878,                0.99866,                0.99499,                0.99491,                0.15668,                0.10064,                0.67083,              0.0002575,              0.0002575,              0.0002575
                     77,                0.09111,                0.17437,                0.78459,                0.99888,                0.99874,                  0.995,                0.99482,                0.15869,                0.10401,                0.67079,              0.0002476,              0.0002476,              0.0002476
                     78,                0.09033,                0.17486,                0.78551,                0.99887,                 0.9985,                  0.995,                0.99485,                0.16034,                0.10987,                 0.6709,              0.0002377,              0.0002377,              0.0002377
                     79,                0.08925,                0.17554,                0.78583,                0.99864,                0.99865,                  0.995,                0.99492,                0.16039,                0.11534,                0.67118,              0.0002278,              0.0002278,              0.0002278
                     80,                0.08904,                0.17395,                0.78571,                0.99854,                0.99865,                0.99499,                0.99488,                0.16108,                0.12144,                0.67124,              0.0002179,              0.0002179,              0.0002179
                     81,                0.08805,                0.17158,                0.78468,                0.99867,                0.99866,                0.99496,                0.99488,                0.16029,                0.12449,                0.67098,               0.000208,               0.000208,               0.000208
                     82,                0.08851,                0.17316,                0.78572,                0.99868,                 0.9987,                0.99498,                0.99487,                0.16236,                0.12675,                0.67094,              0.0001981,              0.0001981,              0.0001981
                     83,                0.08643,                 0.1684,                0.78505,                0.99877,                0.99854,                0.99498,                0.99486,                0.16226,                0.12225,                0.67081,              0.0001882,              0.0001882,              0.0001882
                     84,                0.08607,                0.16632,                0.78357,                0.99886,                0.99851,                0.99499,                0.99491,                0.16101,                0.11705,                0.67056,              0.0001783,              0.0001783,              0.0001783
